id,vejnavn,geometry,aadt_cykler
trafiktaelling.1,H.C. Andersens Boulevard,POINT (12.5654914 55.67796085),16200.0
trafiktaelling.2,Bredgade,POINT (12.58760011 55.6811636),7700.0
trafiktaelling.3,Christian d. IV's Bro,POINT (12.58719494 55.67556235),10000.0
trafiktaelling.4,Dronning Louises Bro,POINT (12.56377238 55.68672614),35100.0
trafiktaelling.5,Kampmannsgade,POINT (12.5578752 55.67796165),9400.0
trafiktaelling.6,Ellebjergvej,POINT (12.51099044 55.65050283),4300.0
trafiktaelling.7,Englandsvej,POINT (12.59984564 55.63848509),2000.0
trafiktaelling.8,Farvergade,POINT (12.57262674 55.67599653),2400.0
trafiktaelling.9,Frederiksborggade,POINT (12.57296684 55.68308817),1100.0
trafiktaelling.10,Frederiksborggade,POINT (12.56636947 55.68570842),18100.0
trafiktaelling.11,Frederiksborgvej,POINT (12.52515344 55.72710589),5000.0
trafiktaelling.12,Frederikssundsvej,POINT (12.46779765 55.71312181),3500.0
trafiktaelling.13,Gl. Køge Landevej,POINT (12.50132651 55.64253657),3600.0
trafiktaelling.14,Gothersgade,POINT (12.56654505 55.68641229),12600.0
trafiktaelling.15,Grøndals Parkvej,POINT (12.48738954 55.67777162),2300.0
trafiktaelling.16,Gyldenløvesgade,POINT (12.55887905 55.68162962),27800.0
trafiktaelling.17,Hareskovvej,POINT (12.50390557 55.71341712),3700.0
trafiktaelling.18,Hillerødgade,POINT (12.52488106 55.69669618),4500.0
trafiktaelling.19,Jagtvej,POINT (12.54816659 55.69376045),14400.0
trafiktaelling.20,Jyllingevej,POINT (12.46732593 55.69153948),1700.0
trafiktaelling.21,Kalvebod Brygge,POINT (12.571198 55.66775458),6800.0
trafiktaelling.22,Knippelsbro,POINT (12.58699888 55.67489294),21900.0
trafiktaelling.23,Kristen Bernikows Gade,POINT (12.58229566 55.67998568),14700.0
trafiktaelling.24,Langebro,POINT (12.57876579 55.67031385),25100.0
trafiktaelling.25,Lyngbyvej,POINT (12.55667985 55.7189695),
